Delivery Number,Company Name/Contact Name,Address 1,Address 2,Address 3,City,State,Postal Code,Country,Product ID,Quantity,Sales Order,Shipping Conditions,Delivery Instructions,Carrier,Planned Ship Date
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,394800-30D/U,150,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,CS8840C1710/B,3840,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,CS8840C1736/B,3840,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,GFS3418A-6281/B,100,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,Q345A2196/B,150,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,VR8304P4256/B,100,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205937,Rheem Montgomery,2769 Gunter Park Dr,,,Montgomery,AL,36109-1013,US,WV8840C1406/P,6000,31991766,,"PALLETIZE LIKE NOS ONLY WHEN POSSIBLE.Apply master barcode labels ONLY on shrink-wrapped pallets and NOTindividual boxes.FEDERAL EXPRESS  SHIP ""BILL RECIPIENT"" ACCT 036100311 SHIP FRT COLLECTTHIRD PARTY BILLING RHEEM C/O TRANZACT SYSTEMS P O BOX 1279 CALUMETCITY  IL 60409",,08/15/2024
8377205938,Heilbronn Pittway (GE2P),Wohlgelegen 9,,,Heilbronn,08,74076,DE,388146KR/U,100,32012950,DHL Parcel,,,08/15/2024
8377205938,Heilbronn Pittway (GE2P),Wohlgelegen 9,,,Heilbronn,08,74076,DE,388146NE/B,50,32012950,DHL Parcel,,,08/15/2024
8377205940,Lennox Industries Inc,512 W Lennox Rd,,,Stuttgart,AR,72160,US,396021/U,50,31716114,UPS,T1PICKUP login https://navitrace.nfiindustries.com/login/ STAMP CUSTPART NUMBER ON OVERPACK. PALLETIZE LIKE OS NUMBERS ONLYIF SHRINK WRAPPED  LABELS MUST SHOW THROUGH. APPLY BAR CODED LABELS PERINSTRCTNS. ATTACH PACK LIST TO BOL.,,08/13/2024
